#          x       x_err           y       y_err        freq           flux       flux_err       major   major_err       minor   minor_err          PA      PA_err             RA            Dec    velocity
#     arcsec      arcsec      arcsec      arcsec         GHz            mJy            mJy      arcsec      arcsec      arcsec      arcsec      degree      degree         degree         degree        km/s
       9.577       0.000       5.654       0.000     234.163   -3.13296E+00    5.36205E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -260.000
       9.577       0.000       5.654       0.000     234.155   -5.54273E+00    5.43579E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -250.000
       9.577       0.000       5.654       0.000     234.147   -3.03951E+00    5.49958E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -240.000
       9.577       0.000       5.654       0.000     234.139    2.50654E+00    5.48576E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -230.000
       9.577       0.000       5.654       0.000     234.132   -8.94496E+00    5.51140E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -220.000
       9.577       0.000       5.654       0.000     234.124    2.92334E+00    5.35396E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -210.000
       9.577       0.000       5.654       0.000     234.116    4.00823E+00    5.42026E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -200.000
       9.577       0.000       5.654       0.000     234.108   -4.51031E+00    5.31914E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -190.000
       9.577       0.000       5.654       0.000     234.100   -7.47392E+00    5.29183E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -180.000
       9.577       0.000       5.654       0.000     234.093   -1.04385E+01    5.45861E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -170.000
       9.577       0.000       5.654       0.000     234.085   -5.84816E-01    5.45445E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -160.000
       9.577       0.000       5.654       0.000     234.077   -7.04546E+00    5.44762E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -150.000
       9.577       0.000       5.654       0.000     234.069    4.52550E-01    5.49659E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -140.000
       9.577       0.000       5.654       0.000     234.061    4.46156E+00    5.46217E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -130.000
       9.577       0.000       5.654       0.000     234.054   -4.79141E-01    5.51634E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -120.000
       9.577       0.000       5.654       0.000     234.046    1.63236E+00    5.42505E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -110.000
       9.577       0.000       5.654       0.000     234.038    1.18082E+01    5.37883E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -100.000
       9.577       0.000       5.654       0.000     234.030    5.74034E-01    5.28803E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     -90.000
       9.577       0.000       5.654       0.000     234.022    4.90748E+00    5.47013E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     -80.000
       9.577       0.000       5.654       0.000     234.015    1.02539E+01    5.54824E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     -70.000
       9.577       0.000       5.654       0.000     234.007   -5.66780E+00    5.57670E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     -60.000
       9.577       0.000       5.654       0.000     233.999   -7.28050E-01    5.66137E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     -50.000
       9.577       0.000       5.654       0.000     233.991    1.67476E-02    5.69625E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     -40.000
       9.577       0.000       5.654       0.000     233.983    2.14495E+00    5.69398E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     -30.000
       9.577       0.000       5.654       0.000     233.976   -1.02196E+00    5.80661E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     -20.000
       9.577       0.000       5.654       0.000     233.968   -1.02426E+00    5.67182E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     -10.000
       9.577       0.000       5.654       0.000     233.960    7.84714E+00    5.93395E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306       0.000
       9.577       0.000       5.654       0.000     233.952   -6.24711E+00    5.77683E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306      10.000
       9.577       0.000       5.654       0.000     233.944   -4.85883E+00    5.64213E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306      20.000
       9.577       0.000       5.654       0.000     233.937    6.27570E+00    5.79958E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306      30.000
       9.577       0.000       5.654       0.000     233.929   -3.21215E+00    6.40527E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306      40.000
       9.577       0.000       5.654       0.000     233.921   -4.99470E+00    5.80376E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306      50.000
       9.577       0.000       5.654       0.000     233.913   -3.84529E+00    5.81389E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306      60.000
       9.577       0.000       5.654       0.000     233.905    9.21094E+00    5.65046E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306      70.000
       9.577       0.000       5.654       0.000     233.898   -1.89905E-01    5.71304E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306      80.000
       9.577       0.000       5.654       0.000     233.890    3.12955E+00    5.57313E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306      90.000
       9.577       0.000       5.654       0.000     233.882   -6.76966E+00    5.73000E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     100.000
       9.577       0.000       5.654       0.000     233.874    1.07871E+01    5.72034E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     110.000
       9.577       0.000       5.654       0.000     233.866    2.28208E+00    5.61925E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     120.000
       9.577       0.000       5.654       0.000     233.859    2.06230E+00    5.57879E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     130.000
       9.577       0.000       5.654       0.000     233.851   -2.46452E+00    5.57291E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     140.000
       9.577       0.000       5.654       0.000     233.843   -8.80028E-01    5.61436E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     150.000
       9.577       0.000       5.654       0.000     233.835   -1.67989E+00    5.53207E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     160.000
       9.577       0.000       5.654       0.000     233.827    1.79648E+00    5.48454E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     170.000
       9.577       0.000       5.654       0.000     233.820   -1.16789E+01    5.42064E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     180.000
       9.577       0.000       5.654       0.000     233.812   -6.24309E-01    5.60911E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     190.000
       9.577       0.000       5.654       0.000     233.804    1.61764E-01    5.46113E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     200.000
       9.577       0.000       5.654       0.000     233.796   -3.13945E+00    5.49906E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     210.000
       9.577       0.000       5.654       0.000     233.788    9.20328E-01    5.49596E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     220.000
       9.577       0.000       5.654       0.000     233.781    6.63327E+00    5.39972E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     230.000
       9.577       0.000       5.654       0.000     233.773    8.07648E+00    5.48844E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     240.000
       9.577       0.000       5.654       0.000     233.765   -4.80972E+00    5.57452E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     250.000
       9.577       0.000       5.654       0.000     233.757   -8.12795E+00    5.42860E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     260.000
       9.577       0.000       5.654       0.000     233.749   -4.32546E+00    5.43239E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     270.000
       9.577       0.000       5.654       0.000     233.741    1.51334E+00    5.60460E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     280.000
       9.577       0.000       5.654       0.000     233.734   -2.81424E-01    5.52564E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     290.000
       9.577       0.000       5.654       0.000     233.726   -1.22451E+00    5.46597E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     300.000
       9.577       0.000       5.654       0.000     233.718   -4.18719E+00    5.39619E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     310.000
       9.577       0.000       5.654       0.000     233.710    2.42524E+00    5.48147E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     320.000
