#        x     x_err         y     y_err           freq               flux           flux_err         major     major_err         minor     minor_err            PA        PA_err
#   arcsec    arcsec    arcsec    arcsec            GHz                mJy                mJy        arcsec        arcsec        arcsec        arcsec        degree        degree
    -9.427     0.000     5.900     0.000        234.054      0.1989817E+01      0.4798918E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.046     -0.7811346E+01      0.4715024E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.038     -0.2669681E+01      0.4682286E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.030     -0.8234370E+00      0.4598167E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.022      0.4329171E+01      0.4757919E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.015     -0.5949610E+00      0.4831392E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.007     -0.3331805E+01      0.4852289E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.999      0.5955498E+01      0.4923124E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.991     -0.4791078E+01      0.4952978E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.983     -0.3989756E+01      0.4952817E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.976      0.3920795E+01      0.5046704E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.968     -0.2982488E+01      0.4934033E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.960     -0.1854226E+01      0.5158931E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.952      0.8912971E+00      0.5023813E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.944      0.5695350E+01      0.4907547E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.937      0.6098895E+01      0.5037943E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.929     -0.2463458E+01      0.5573988E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.921      0.3221317E+00      0.5049216E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.913     -0.3023774E+01      0.5055794E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.905      0.7226105E+01      0.4917532E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.898     -0.5502115E+01      0.4969763E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.890     -0.1363297E+01      0.4850219E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.882     -0.1291089E+02      0.4981960E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.874     -0.1553380E+01      0.4981676E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.866     -0.2317728E+01      0.4888673E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.859     -0.1765761E+01      0.4855969E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.851     -0.2436164E+01      0.4851415E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.843      0.6739757E+01      0.4884671E+01         0.000         0.000         0.000         0.000         0.000         0.000
